Title,Air Date,Code,#,Description,Season,Episode
"Imaginationland, Episode II","October 24, 2007",1111,164,Cartman is determined to find Kyle while Butters remains trapped in Imaginationland as the evil creatures break through the barrier...,11,11
"Imaginationland, Episode III","October 31, 2007",1112,165,"Stan and Butters prepare for the battle of their lives, while Cartman takes his case to the Supreme Court.",11,12
Guitar Queer-O,"November 7, 2007",1113,166,"Stan and Kyle become hooked on guitar hero, but Stan's superior skill threatens his and Kyle's friendship.",11,13
The List,"November 14, 2007",1114,167,The boys try to obtain the list that the girls have made rating how attractive the boys are.,11,14
Tonsil Trouble,"March 12, 2008",1201,168,Cartman has his tonsils removed but is accidentally given HIV as a result of a blood transfusion.,12,1
Britney's New Look,"March 19, 2008",1202,169,The boys travel with Britney Spears to the North Pole and discover the secret of her popularity.,12,2
Major Boobage,"March 26, 2008",1203,170,"Kenny becomes addicted to the latest drug. To get people off this, Gerald proposes a ban on Cats.",12,3
Canada on Strike,"April 2, 2008",1204,171,The head of the World Canadian Bureau leads the country into a long and painful strike.,12,4
"Eek, A Penis!","April 9, 2008",1205,172,Mrs. Garrison goes in search of a way of becoming a man while Cartman is left to substitute.,12,5
Over Logging,"April 16, 2008",1206,173,Randy moves the Marsh family towards California after the internet has gone.,12,6
Super Fun Time,"April 23, 2008",1207,174,"Mr. Garrison's field trip turns into a dangerous situation when everyone is taken hostage, while Butters is forced by Cartman to accompany him to the nearby amusement park.",12,7
The China Probrem,"October 8, 2008",1208,175,Cartman must confront the Chinese alone while the American people are haunted by the memory of recent tragic events.,12,8
Breast Cancer Show Ever,"October 15, 2008",1209,176,Wendy gets into trouble after threatening to beat Cartman after school.,12,9
Pandemic,"October 22, 2008",1210,177,"While the world struggles to contain the latest epedemic of epic proportions, the boys find a way to make money off of it.",12,10
Pandemic 2: The Startling,"October 29, 2008",1211,178,Randy bravely documents the destruction whilst trying to save his family.,12,11
About Last Night...,"November 5, 2008",1212,179,All the president candidates aren't who they seem to be...,12,12
Elementary School Musical,"November 12, 2008",1213,180,"The boys realize they aren't the cool kids anymore, while Stan realizes that he could lose Wendy if he doesn't get on board with the latest fad to hit South Park Elementary",12,13
The Ungroundable,"November 19, 2008",1214,181,"Butters is sure he’s seen a Vampire at school but he can’t get anyone to listen to him. Meanwhile, the Goth Kids are angry and frustrated when the other kids can’t tell the difference between a Goth Kid and a Vampire Kid.",12,14
The Ring,"March 11, 2009",1301,182,"Thinking it's his way into her heart and other body parts, Kenny takes his new girlfriend to a Jonas Brothers concert. His dream of taking their relationship to the next level is crushed with the Jonas Brothers giving them purity rings.",13,1
The Coon,"March 18, 2009",1302,183,The Coon rises from the trash and takes his place as a lone vigilante.,13,2
Margaritaville,"March 25, 2009",1303,184,"The economy is making everyone's life difficult, but Randy has a solution.",13,3
"Eat, Pray, Queef","April 1, 2009",1304,185,"There is a new television series which freaks the boys out, called The Queef Sisters.",13,4
Fishsticks,"April 8, 2009",1305,186,Cartman decides to help Jimmy with his comedy routine. Everyone loves the new joke they come up with. The joke starts to take off and it even hits all the late night talk shows. The boys are thrilled with how popular it’s become until somebody tries to take all the credit.,13,5
Pinewood Derby,"April 15, 2009",1306,187,Randy is determined that Stan will win this year's Pinewood Derby. He comes up with a plan that will assure Stan a first place trophy.,13,6
Fatbeard,"April 22, 2009",1307,188,Butters and a small group of recruits join Cartman in his dream of living on skull island where they will frolic in crystal clear waterfalls and discover buried treasure. Cartman promises that paradise awaits if they can just get to Somalia.,13,7
Dead Celebrities,"October 7, 2009",1308,189,Ike is being tormented by paranormal forces. Kyle brings in professional ghost hunters to help save his little brother.,13,8
Butters' Bottom Bitch,"October 14, 2009",1309,190,Butters is determined to get his first kiss so his friends won't make fun of him anymore.,13,9
W.T.F.,"October 21, 2009",1310,191,The boys decide to take up wrestling.,13,10
Whale Whores,"October 28, 2009",1311,192,Stan joins the whale wars crew and fights against the Japanese protecting the world's whales and dolphins.,13,11
The F Word,"November 4, 2009",1312,193,The boys fight back against the loud and obnoxious Motorcycle Riders that are disrupting everyone in South Park.,13,12
Dances with Smurfs,"November 11, 2009",1313,194,Cartman takes over the morning announcements and uses his new position to attack Wendy.,13,13
Pee,"November 18, 2009",1314,195,"The boys and Jimmy visit the ""Pi Pi Waterland"" and experience a urine catastrophe in a parody of 2012.",13,14
Sexual Healing,"March 17, 2010",1401,196,"The nation’s top scientists come together to put a stop to the recent phenomenon of rich, successful men who suddenly want to have sex with many, many women. After extensive testing, some of the fourth grade boys in South Park Elementary are diagnosed as sex addicts.",14,1
The Tale of Scrotie McBoogerballs,"March 24, 2010",1402,197,"The boys are given a controversial book to read in school that both excites and inspires them to write one of their own. When the boys discover that Stan's mom has found their masterpiece, their new motivation is how they can stay out of trouble.",14,2
Medicinal Fried Chicken,"March 31, 2010",1403,198,Cartman’s favorite restaurant has been shut down and replaced by a store that sells medicinal marijuana. Randy is desperate to get a prescription card to buy pot and Cartman will do anything to get his beloved fried chicken back.,14,3
You Have 0 Friends,"April 7, 2010",1404,199,"Kyle ""friends"" the wrong person on facebook and now all of his old friends are deserting him. His situation is desperate. Kyle looks for help from the one person who has always been there for him. Stan gets sucked into Facebook.",14,4
200,"April 14, 2010",1405,200,"While on a school field trip, Stan accidentally insults Tom Cruise (again), which sets off a chain reaction of enraged celebrities. As a result, 200 previously ridiculed celebrities stand strong in a class action lawsuit against the town of South Park. This could be the thing that destroys South Park forever. So it is up to Stan to come with a plan to sort out this predicament or they are all doomed.",14,5
201,"April 21, 2010",1406,201,"Angry celebrities, violent ginger kids and Mecha Streisand are about to destroy South Park and all anyone wants to know is, “Who is Eric Cartman’s father?”",14,6
Crippled Summer,"April 28, 2010",1407,202,Competition is the name of the game this summer. There is no time for Jimmy and his friends to slack off. They're working to be this year's champions at summer camp. Jimmy suits up and prepares to shred in the annual surfing contest. Meanwhile Towelie goes through drug therapy.,14,7
Poor and Stupid,"October 6, 2010",1408,203,"Cartman wants to race with the pros and he's ready to do whatever it takes to make it happen. He's afraid that no matter how hard he tries, he'll never reach the the level of the other NASCAR drivers. Working with Butters as his pit boss, Cartman pulls out all the stops to compete in the race of his life.",14,8
It's a Jersey Thing,"October 13, 2010",1409,204,"New Jersey is rapidly taking over the nation, one state at a time and their next stop is South Park. As the Jerseyites spill into Colorado and approach South Park, Randy and the boys stand strong against the onslaught.",14,9
Insheeption,"October 20, 2010",1410,205,"When he's sent to the school counselor to talk about his disorder, Stan realizes that he's not the only one who has a problem. When Mr. Mackey and Stan agree to surrender themselves to the hoarding experts, Stan gets a more than a glimpse of what it was like for Mr. Mackey in the 4th grade at South Park Elementary.",14,10
Coon 2: Hindsight,"October 27, 2010",1411,206,"""Coon and Friends"" set out to help the victims of BP's latest catastrophic drilling accident in the Gulf. Much to the Coon's dismay, another Super Hero gets there first.",14,11
Mysterion Rises,"November 3, 2010",1412,207,"Led by Mysterion, Coon and Friends are working together to help the people in the Gulf who are at the mercy of the dark lord, Cthulhu. The Coon, scorned by his fellow super heroes and now working alone, is out for revenge.",14,12
Coon vs. Coon & Friends,"November 10, 2010",1413,208,"Coon and Friends find themselves at the mercy of Cartman who now has the dark lord, Cthulhu, doing his bidding. Kenny wrestles with the curse of his super power through his alter ego, Mysterion.",14,13
Crème Fraiche,"November 17, 2010",1414,209,Stan's life is a shambles both at home and in school. Randy's obsession with the Food Network Is changing everything. It even forces Sharon to explore a new interest of her own.,14,14
HUMANCENTiPAD,"April 27, 2011",1501,210,"Kyle is intimately involved in the development of a revolutionary new product that is about to be launched by Apple. Meanwhile, Cartman doesn't even have a regular iPad yet. He blames his mother.",15,1
Funnybot,"May 4, 2011",1502,211,"At the schools first annual Comedy Awards, Jimmy announces that the Germans are the least funny people in the world. Germany is highly insulted. They vow that retaliation toward the kids at South Park Elementary will be swift and brutal.",15,2
Royal Pudding,"May 11, 2011",1503,212,"It is a joyous time for all Canadians as the royal wedding commences. But just as the prince and princess are about to be joined for all eternity, the princess is abducted! All Canadians are called upon to help save the princess. Ike answers the call to arms.",15,3
T.M.I.,"May 18, 2011",1504,213,Cartman is furious when the school posts the kids' penis sizes on the bulletin board. He throws an absolute fit and once again finds himself in the principal's office. This time he gets sent to anger management therapy.,15,4
Crack Baby Athletic Association,"May 25, 2011",1505,214,"Kyle gets in on the ground floor of Cartman’s latest business venture, The Crack Baby Athletic Association.",15,5
City Sushi,"June 1, 2011",1506,215,"Butters is taken to a psychiatrist who claims that he has Multiple Personality Disorder, in which he needs medication for. Meanwhile, a new restaurant opens next to South Park's City Wok.",15,6
You're Getting Old,"June 8, 2011",1507,216,"After Stan celebrates his 10th birthday, he begins to see everything differently. The other boys think he's become a major buzzkill and start to avoid hanging out with him. When Stan and Kyle have a major blow up, the very fabric of South Park begins to unravel.",15,7
Ass Burgers,"October 5, 2011",1508,217,"Cartman tries to give himself Asperger's Syndrome in an unusual way. Meanwhile, Stan doesn't seem to be able to get his life back to normal no matter what he tries.",15,8
The Last of the Meheecans,"October 12, 2011",1509,218,"Butters ends up living in Mexico. When several mexicans believe it is best to cross over to Mexico, Cartman joins the Border Patrol.",15,9
Bass to Mouth,"October 19, 2011",1510,219,The students of South Park Elementary are the victims of a new gossip website. An elusive hacker has somehow gained access into the student's confidential phone calls and e-mails and is posting all their juicy stories. The boys are shocked when they discover the identity of the hacker.,15,10
Broadway Bro Down,"October 26, 2011",1511,220,"Sharon is thrilled that Randy is making an effort to do more things that she enjoys. But, after he takes her to see a hit musical in Denver, Randy becomes Broadway’s biggest fan. Sharon is whisked away to New York and treated to every musical on the Great White Way.",15,11
1%,"November 2, 2011",1512,221,The kids at South Park Elementary are being punished for Cartman's failings in the physical education department. What will Cartman do when they all gang up on him?,15,12
A History Channel Thanksgiving,"November 9, 2011",1513,222,"After watching a Thanksgiving special on The History Channel, the boys believe that aliens were involved in the original feast. But, questions remain... was the first Thanksgiving haunted? Is alien technology responsible for stuffing? The truth could change Thanksgiving for everyone.",15,13
The Poor Kid,"November 16, 2011",1514,223,"When Kenny's parents are arrested, the McCormick kids are put in an agnostic foster home. Cartman finds out he is the second poorest kid and attempts to get himself put in a foster home on Hawaii; this plan backfires. Cartman ends up living with Kenny where he or Kenny are no longer the ""poor kids"".",15,14
Reverse Cowgirl,"March 14, 2012",1601,224,"When one of the boys leaves the toilet seat up after he uses the bathroom, an unspeakable tragedy occurs.",16,1
Cash For Gold,"March 21, 2012",1602,225,Cartman launches his own gem shopping channel.,16,2
Faith Hilling,"March 28, 2012",1603,226,The kids are in danger when new trends start to evolve and shift at a rapid pace.,16,3
Jewpacabra,"April 4, 2012",1604,227,The town's big Easter Egg Hunt is in jeopardy when Cartman produces video evidence of a mysterious creature lurking in the woods.,16,4
Butterballs,"April 11, 2012",1605,228,Butters is the victim of an unlikely bully.,16,5
I Should Have Never Gone Ziplining,"April 18, 2012",1606,229,The boys' ziplining adventure becomes a terrifying test of survival.,16,6
Cartman Finds Love,"April 25, 2012",1607,230,The time has finally come for Cartman to let a special someone know exactly how he feels.,16,7
Sarcastaball,"September 26, 2012",1608,231,South Park Elementary takes steps to address football's concussion crisis.,16,8
Raising the Bar,"October 3, 2012",1609,232,Cartman finally admits he's fat and immediately gets a mobility scooter.,16,9
Insecurity,"October 10, 2012",1610,233,Cartman signs up for a home security system.,16,10
Going Native,"October 17, 2012",1611,234,It is time for Butters to begin a journey where he will follow in the path of his Hawaiian ancestors.,16,11
A Nightmare on Face Time,"October 24, 2012",1612,235,Randy's big plans for Halloween night keep Stan from trick or treating with his friends.,16,12
A Scause For Applause,"October 31, 2012",1613,236,A serious doping scandal shakes everyone's faith in a beloved icon. Everyone who once supported the fallen hero is now cutting off their symbolic yellow wristbands.,16,13
Obama Wins!,"November 7, 2012",1614,237,Eric Cartman is hiding something in his bedroom that could change the entire outcome of the Presidential election.,16,14
"Let Go, Let Gov","September 25, 2013",1701,238,Cartman infiltrates the NSA and doesn't like what he finds in his personal file.,17,1
Informative Murder Porn,"October 2, 2013",1702,239,The boys use the game of Minecraft as a distraction to keep their parents from hurting each other.,17,2
World War Zimmerman,"October 9, 2013",1703,240,Cartman sees Token as a threat to all humanity.,17,3
Goth Kids 3: Dawn of the Posers,"October 23, 2013",1704,241,The Goth Kids are being sent away to a camp for troubled children.,17,4
Taming Strange,"October 30, 2013",1705,242,"When Ike hits puberty, he and Kyle start to grow apart. To save their relationship, Kyle takes Ike to see a live performance of Yo Gabba Gabba!.",17,5
Ginger Cow,"November 6, 2013",1706,243,Cartman's latest prank brings peace to the world.,17,6
Black Friday,"November 13, 2013",1707,244,The boys prepare to battle the crowds already lining up for the first official day of holiday shopping.,17,7
A Song of Ass and Fire,"November 20, 2013",1708,245,Black Friday is almost here and the battle for the new gaming devices is heating up. Princess Kenny's betrayal has left Cartman out for revenge.,17,8
Titties and Dragons,"December 4, 2013",1709,246,The doors to the mall will finally open for the biggest Black Friday sale in history. The boys are divided over which gaming device to buy and a bloody battle will determine whether Xbox or Sony will be the winner.,17,9
The Hobbit,"December 11, 2013",1710,247,"When Wendy tries to fix one of her girlfriends up with Butters, she ends up in the counselor's office.",17,10
Go Fund Yourself,"September 24, 2014",1801,248,"The boys name their new start-up company, The Washington Redskins.",18,1
Gluten Free Ebola,"October 1, 2014",1802,249,South Park goes gluten free.,18,2
The Cissy,"October 8, 2014",1803,250,"Randy is harboring a giant secret and the pressure is getting to him. Meanwhile, Cartman calls Stan a cissy.",18,3
Handicar,"October 15, 2014",1804,251,Timmy's successful new car service makes him a lot of enemies.,18,4
The Magic Bush,"October 29, 2014",1805,252,Graphic video from an unknown drone is uploaded on the internet.,18,5
Freemium Isn't Free,"November 5, 2014",1806,253,Stan is addicted to the new Terrance and Phillip mobile game.,18,6
Grounded Vindaloop,"November 12, 2014",1807,254,Butters is convinced he's living in a virtual reality.,18,7
Cock Magic,"November 19, 2014",1808,255,There are illegal goings-on in the basement of City Wok.,18,8
#REHASH,"December 3, 2014",1809,256,"Kyle just wants to play video games with his little brother. But, when Ike doesn't want to play with him anymore, Kyle is afraid that the next generation is passing him by.",18,9
#HappyHolograms,"December 10, 2014",1810,257,CartmanBrah is trending as the country prepares to watch the biggest Holiday Spectacular ever.,18,10
Stunning and Brave,"September 16, 2015",1901,258,There is a new principal at the helm of South Park Elementary. He forces the boys to confront the damage they’ve done through their history of racism and unconscious bias. It is the most stunning and brave South Park ever.,19,1
Where My Country Gone?,"September 23, 2015",1902,259,Garrison wants to build a wall to keep out all of the undocumented immigrants.,19,2
The City Part of Town,"September 30, 2015",1903,260,"The town of South Park is gentrifying, Kenny gets a job at City Wok.",19,3
You're Not Yelping,"October 14, 2015",1904,261,A new Mexican restaurant opens in South Park and Eric Cartman will give his expert advice to the owner.,19,4
Safe Space,"October 21, 2015",1905,262,Randy has to deal with uncomfortable confrontations every time he shops at the new Whole Foods. He feels exposed at every turn and it’s ruining his Whole Foods experience. Randy and Cartman are both seeking a safe space.,19,5
Tweek x Craig,"October 28, 2015",1906,263,"The news of a romantic relationship between Tweek and Craig hits South Park Elementary. Meanwhile, Cartman, who struggles to understand his friends’ relationship, finds he has an admirer of his own.",19,6
Naughty Ninjas,"November 11, 2015",1907,264,"When Kenny leads the boys in playing Ninja Warriors, a foreign terrorist organization takes notice.",19,7
Sponsored Content,"November 18, 2015",1908,265,Jimmy is sent to the principal’s office for using an inappropriate word in the school paper. His integrity as a newsman runs head on into PC Principals ideology. Will Jimmy be the undoing of PC Principal?,19,8
Truth and Advertising,"December 2, 2015",1909,266,"Being the crack reporter that he is, Jimmy sets out to learn everything he can about what makes Leslie tick. Meanwhile, Principal Victoria and Mr. Garrison return to a South Park that has become unrecognizable.",19,9
PC Principal Final Justice,"December 9, 2015",1910,267,"The gentrification of South Park is pricing Randy right out of town. Meanwhile, Kyle’s distrust of Stan has broken their friendship and thrown Kyle into a dangerous alliance.",19,10
Member Berries,"September 14, 2016",2001,268,Mr. Garrison is still on the campaign trail as the National Anthem gets a reboot by an American Icon.,20,1
Skank Hunt,"September 21, 2016",2002,269,"The boys decide they have to take down Cartman but meanwhile, Skank Hunt takes his rein of terror global.",20,2
The Damned,"September 28, 2016",2003,270,Gerald is thrilled with the media attention as he continues to troll everyone and anyone.,20,3
Wieners Out,"October 12, 2016",2004,271,"Kyle feels tremendous guilt over the rift between the boys and the girls. When he tries to bring them together, things only get worse. The boys finally band together to stand up for their rights.",20,4
Douche and a Danish,"October 19, 2016",2005,272,"The kids get pulled in to the search for the notorious Skankhunt42. Meanwhile, Gerald joins forces with the other trolls to stop Denmark from launching TrollTrace.com.",20,5
Fort Collins,"October 26, 2016",2006,273,An entire city in Colorado gets hacked. Gerald and Cartman may lose everything when their complete history of internet activity becomes public.,20,6
"Oh, Jeez","November 9, 2016",2007,274,PC Principal tries one more time to make peace between the boys and the girls. Meanwhile Gerald comes face-to-face with the Troll Hunter.,20,7
Members Only,"November 16, 2016",2008,275,"Gerald tries anything to escape the Troll Hunter’s revenge. Meanwhile, Cartman and Heidi make their way to SpaceX to try to get on the first rocket leaving for Mars.",20,8
Not Funny,"November 30, 2016",2009,276,Cartman is certain Heidi can solve the problem of getting them to Mars because she’s really funny. Gerald tries to save himself by reasoning with the Troll Hunter while Garrison explores his new found military power.,20,9
The End of Serialization as We Know It,"December 7, 2016",2010,277,"As TROLLTRACE goes live, Sheila logs on to see Gerald’s on-line activity. At SpaceX, Cartman tries to convince the scientists that going to Mars is a bad idea. And defying their mom, Kyle and Ike get all the kids together to try to save the world from certain destruction..",20,10
White People Renovating Houses,"September 13, 2017",2101,278,Randy comes to grips with what it means to be white in today’s society.,21,1
Put It Down,"September 20, 2017",2102,279,"When Tweek is caught in the middle of a petty conflict, it drives his relationship with Craig to the brink.",21,2
Holiday Special,"September 27, 2017",2103,280,"In a return to form, a forbidden love story between a white man and a Native American man unfolds.",21,3
Franchise Prequel,"October 11, 2017",2104,281,Facebook is the ultimate weapon for Professor Chaos.,21,4
Hummels & Heroin,"October 18, 2017",2105,282,Beloved entertainers are being cut down in their prime due to massive overdoses of opiates. Stan is about to be exposed as the source of the illegal drugs.,21,5
Sons A Witches,"October 25, 2017",2106,283,"At the annual Halloween get together, a witch casts a spell that terrorizes everyone in South Park.",21,6
Doubling Down,"November 8, 2017",2107,284,Kyle is playing with fire when he gets in the middle of Cartman and Heidi’s relationship.,21,7
Moss Piglets,"November 15, 2017",2108,285,Jimmy and Timmy’s experiment could win them first prize in the annual science fair.,21,8
SUPER HARD PCness,"November 29, 2017",2109,286,It’s never been more challenging to be a PC Principal.,21,9
Splatty Tomato,"December 6, 2017",2110,287,The children of South Park claim to have seen Mr. Garrison lurking around town. The townspeople are angry that the President is scaring their children.,21,10
Dead Kids,"September 26, 2018",2201,288,Randy is desperate to help Sharon get her emotions under control and Cartman unexpectedly fails his math test.,22,1
A Boy And A Priest,"October 3, 2018",2202,289,"A very special relationship has developed between Butters and the Parish Priest. When the town finds the church doors locked and no sign of the pair, they call in the Catholic Church",22,2
The Problem with a Poo,"October 10, 2018",2203,290,Mr. Hankey’s offensive behavior puts him in jeopardy of being fired as the Director of the Annual Christmas Pageant.,22,3
Tegridy Farms,"October 17, 2018",2204,291,"Butters is selling vape pens and all kinds of fruity-flavored vape accessories at school. Meanwhile, Randy decides he should move the family to the country and take up farming.",22,4
The Scoots,"October 31, 2018",2205,292,The kids plan to use the latest revolution in mobility to get more candy on Halloween than they have ever gotten before.,22,5
Time To Get Cereal,"November 7, 2018",2206,293,"When dead citizens start popping up all over town, the boys realize they need Al Gore’s help. The boys are willing to do almost anything to save the town, and themselves, but it may be just too late.",22,6
Nobody Got Cereal?,"November 14, 2018",2207,294,The boys break out of jail and are on the run from the police and ManBearPig.,22,7
Buddha Box,"November 28, 2018",2208,295,Cartman just can’t deal with people any longer. They get in the way of what’s most important in his life.,22,8
Unfulfilled,"December 5, 2018",2209,296,The citizens of South Park are enjoying all the perks of being a company town when the Amazon Fulfillment Center moves in. Everything is just swell until the contradictions inherent in capitalism threaten to bring down the entire system down.,22,9
Bike Parade,"December 12, 2018",2210,297,"Despite the chaos at the Amazon Fulfillment Center, the Bike Parade is still on. The boys’ chance of winning is in jeopardy when Kenny resists commercialism in solidarity with the striking workers.",22,10
Mexican Joker,"September 25, 2019",2301,298,"In the pilot episode of the new hit series, Tegridy Farms, Randy battles home-grown weed and comes to terms with the fact that he might be a towel. Meanwhile, Kyle goes to camp.",23,1
Band in China,"October 2, 2019",2302,299,"Randy lands himself in big trouble on a visit to China. Meanwhile, Stan starts a band to work out his frustration over having to move away from South Park.",23,2
Shots!!!,"October 9, 2019",2303,300,"This week, Randy revels in a Tegridy Farms milestone. Meanwhile, Cartman stands his ground and refuses to get a shot.",23,3
Let Them Eat Goo,"October 16, 2019",2304,301,The citizens of South Park are moving toward a completely plant-based diet. Cartman is pretty sure the new food in the cafeteria gave him a heart attack.,23,4
Tegridy Farms Halloween Special,"October 30, 2019",2305,302,It’s Halloween and Randy is dealing with his daughter’s marijuana problem. Butters gets an unexpected surprise when he visits the Egyptian Artifact exhibit at the Denver Museum.,23,5
Season Finale,"November 6, 2019",2306,303,The Mayor has evidence that Randy blew up his neighbor’s yards in protest over homegrown weed and then blamed it on a Mexican Joker. Now the citizens of South Park have had enough of Randy and Tegridy Farms and they just want to lock him up.,23,6
Board Girls,"November 13, 2019",2307,304,"In the season opener, an even stronger woman causes big problems for PC Principal. Cartman, Stan, and the rest of the boys meet their match when some of the girls join their board gamers club.",23,7
Turd Burglars,"November 27, 2019",2308,305,Kyle’s mom looks so good after her fecal transplant that everyone wants to get their hands on her goods. Cartman and the boys jump into the quest for the best microbiome.,23,8
Basic Cable,"December 4, 2019",2309,306,Scott Malkinson’s future with the new girl in his class depends on him getting the latest and greatest streaming platform. Scott’s dad works for the local cable company and refuses to move beyond basic cable.,23,9
Christmas Snow,"December 11, 2019",2310,307,It's a bleak Christmas Season in South Park this year and it's all Santa's fault. He is single handedly stealing the joy from the holiday. The town just wants their Christmas Spirit back but that will take a Christmas miracle.,23,10
The Pandemic Special,"September 30, 2020",2401,308,"Randy comes to terms with his role in the COVID-19 outbreak as the on-going pandemic presents continued challenges to the citizens of South Park. The kids happily head back to school but nothing resembles the normal that they once knew; not their teachers, not their homeroom, not even Eric Cartman.",24,1
South ParQ Vaccination Special,"March 10, 2021",2402,309,The citizens of South ParQ are clamoring for the COVID-19 vaccine. A hilarious new militant group tries to stop the boys from getting their teacher vaccinated.,24,2
